,Kelurahan,Kecamatan,Nama SMA,Alamat
443,Rambutan,CIRACAS,Sekolah Menengah Atas & Pertama Widya Manggala,"Alamat: Jl. Mujahidin No.17, RT.5/RW.2, Rambutan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13830 "
444,Cipayung,CIPAYUNG,SMA NEGERI 64 Jakarta Timur,"Alamat: Jl. Cipayung Raya No.4, RT.4/RW.2, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840 "
445,Cipayung,CIPAYUNG,SMA PGRI 4 JAKARTA,"Alamat: Jalan Cipayung Raya, RT.1/RW.3, RT.3/RW.2, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840 "
446,Cipayung,CIPAYUNG,Sekolah Menengah Kejuruan PGRI 16 Jakarta,"Alamat: Jl. SMA 64 No.23, RT.5/RW.2, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840 "
447,Cilangkap,CIPAYUNG,Sekolah Prestasi Prima,"Alamat: Jl. Hankam Raya No.89, RT.7/RW.4, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870 "
448,Cilangkap,CIPAYUNG,SMK Insan Mulia Informatika,"Alamat: Jl. Raya Cilangkap No.1, RT.8/RW.2, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870 "
449,Cilangkap,CIPAYUNG,SMK Insan Mulia Informatika,"Alamat: 2, RW.1, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870 "
450,Cilangkap,CIPAYUNG,Sekolah Menengah Kejuruan Mitra Wisata,"Alamat: Yayasan Mitratama Perdana, Jl. Giri Kencana No.31, RT.8/RW.2, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870 "
451,Pd. Ranggon,CIPAYUNG,MAN 14 Jakarta Kampus B Pondok Ranggon,"Alamat: Jl. Pd. Rangon No.44, RT.7/RW.5, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860 "
452,Munjul,CIPAYUNG,SMK Medical High School,"Alamat: Jl. Raya Munjul No.2, RT.3/RW.1, Munjul, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13850 "
453,Munjul,CIPAYUNG,SMK Analis Kesehatan Puskesad,"Alamat: JVVV+FPF Kel, Jl. Jankes AD, RT.10/RW.1, Munjul, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13850 "
454,Munjul,CIPAYUNG,Madrasah Aliyah Al - Hamid,"Alamat: Pd. Pesantren Al Hamid, Jl. Cilangkap Baru No.1, RT.12/RW.2, Munjul, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13850 "
455,SETU,CIPAYUNG,SMAIT Buahati Islamic School,"Alamat: Jl. Mandor Munding No.6, RT.6/RW.1, Setu, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13880 "
456,Bambu Apus,CIPAYUNG,SMA SANTIKA,"Alamat: Jl. Bambu Wulung No.2, RT.7/RW.5, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890 "
457,Bambu Apus,CIPAYUNG,SMA Negeri Unggulan M.H. Thamrin,"Alamat: Jl. Bambu Wulung No.7, RT.7/RW.5, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890 "
458,Bambu Apus,CIPAYUNG,Nizamia Andalusia High School (NHS),"Alamat: Jl. Raya Mabes Hankam No.100, RT.2/RW.3, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890 "
459,Lubang Buaya,CIPAYUNG,Sekolah Menengah Kejuruan Islam Al-Makiyah,"Alamat: Jl. Gorda No.RT01/01, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810 "
460,Lubang Buaya,CIPAYUNG,SMAN 113 Jakarta,"Alamat: Jl. Al.Baidho I No.10, RT.10/RW.9, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810 "
461,Lubang Buaya,CIPAYUNG,SMA PGRI 24,"Alamat: Jalan SMPN 157 No.33, RT.2/RW.6, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810 "
462,Lubang Buaya,CIPAYUNG,Sekolah Menengah Kejuruan Jakarta Raya 2,"Alamat: Jl. Raya Pd. Gede No.36, RT.11/RW.1, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810 "
